time,lap,lap_dist_pct,throttle,brake,steering,gear,speed,rpm
1197.8499715164376,5,0.0003802650608122349,1.0,0.0,-0.030411843210458755,3,126.89248809814454,6196.91015625
1197.9166381831042,5,0.0011171078076586127,1.0,0.0,-0.029917500913143158,3,127.43907165527344,6233.28759765625
1197.9666381831041,5,0.001671800040639937,1.0,0.0,-0.030659956857562065,3,127.84141845703125,6230.8359375
1198.016638183104,5,0.0022282141726464033,1.0,0.0,-0.030411845073103905,3,128.22063903808595,6264.3974609375
1198.0499715164374,5,0.0026000705547630787,1.0,0.0,-0.0309061948210001,3,128.47928466796876,6305.04296875
1198.0999715164373,5,0.00315935374237597,1.0,0.0,-0.03239016979932785,3,128.9070785522461,6301.21826171875
1198.1499715164373,5,0.0037205000407993793,1.0,0.0,-0.03313169628381729,3,129.32086486816408,6314.03369140625
1198.1999715164372,5,0.00428341468796134,1.0,0.0,-0.030659951269626617,3,129.71707305908203,6330.40185546875
1198.2333048497705,5,0.004659655038267374,1.0,0.0,-0.029423145577311516,3,129.97750396728517,6331.759765625
1198.2666381831039,5,0.005036655347794294,1.0,0.0,-0.027692923322319984,3,130.22344665527345,6352.81982421875
1198.3166381831038,5,0.005603470839560032,1.0,0.0,-0.028434449806809425,3,130.59334259033204,6378.998046875
1198.3666381831038,5,0.006171931512653828,1.0,0.0,-0.0309061948210001,3,130.9690887451172,6403.224609375
1198.4166381831037,5,0.006742012687027454,1.0,0.0,-0.02892880141735077,3,131.3463317871094,6429.68701171875
1198.4666381831037,5,0.007313768845051527,1.0,0.0,-0.02348908595740795,3,131.73701934814454,6440.06884765625
1198.5166381831036,5,0.007887203246355057,1.0,0.0,-0.016071975231170654,3,132.1186019897461,6467.22412109375
1198.5666381831036,5,0.008462311699986458,1.0,0.0,-0.005439716391265392,3,132.507421875,6471.712890625
1198.6166381831035,5,0.009039095602929592,1.0,0.0,0.002967032603919506,3,132.8888671875,6500.2001953125
1198.6666381831035,5,0.009617547504603863,1.0,0.0,0.008407684043049812,3,133.28445739746095,6507.0078125
1198.7166381831034,5,0.01019771583378315,1.0,0.0,0.011127542704343796,3,133.66303253173828,6527.6962890625
1198.7666381831034,5,0.010779526084661484,1.0,0.0,0.010632256977260113,3,134.04265136718752,6553.91943359375
1198.8166381831034,5,0.011363000608980656,1.0,0.0,0.007665224373340607,3,134.42715911865236,6561.44384765625
1198.8499715164367,5,0.011752907186746597,1.0,0.0,0.00692369882017374,3,134.67818298339844,6574.279296875
1198.8999715164366,5,0.012339110486209393,1.0,0.0,0.005440652370452881,3,135.04853210449218,6600.63330078125
1198.9499715164366,5,0.012926883064210415,1.0,0.0,0.005440650507807732,3,135.4266540527344,6609.263671875
1198.9999715164365,5,0.013515988364815712,1.0,0.0,0.0024736186023801565,3,135.8001480102539,6639.1162109375
1199.0499715164365,5,0.014106584712862968,1.0,0.0,-0.0012358733220025897,3,136.18380432128907,6653.56787109375
1199.0999715164364,5,0.014698854647576809,1.0,0.0,-0.005934064742177725,3,136.55760040283204,6656.87451171875
1199.1499715164364,5,0.015292691066861153,1.0,0.0,-0.008901095017790794,3,136.90936889648438,6689.20068359375
1199.1999715164363,5,0.015888115391135216,1.0,0.0,-0.01137377880513668,3,137.28749084472656,6723.5419921875
1199.2499715164363,5,0.01648525521159172,1.0,0.0,-0.01656632125377655,3,137.69019470214843,6720.765625
1199.2999715164362,5,0.017084142193198204,1.0,0.0,-0.01755501888692379,3,138.06403198242188,6726.69775390625
1199.3499715164362,5,0.017684603109955788,1.0,0.0,-0.012856828980147839,3,138.41757202148438,6752.1923828125
1199.3999715164362,5,0.0182866882532835,1.0,0.0,-0.0069227637723088264,3,138.78583374023438,6772.87109375
1199.4333048497695,5,0.018688976764678955,1.0,0.0,-0.005439716391265392,3,139.03262786865236,6784.3740234375
1199.4833048497694,5,0.019293783232569695,1.0,0.0,-0.005191603675484657,3,139.39808807373046,6797.79248046875
1199.5333048497694,5,0.019900156185030937,1.0,0.0,-0.0024726823903620243,3,139.74040832519532,6804.6435546875
1199.5833048497693,5,0.02050800994038582,1.0,0.0,0.011621889658272266,3,140.06785583496094,6840.5517578125
1199.6333048497693,5,0.021117309108376503,1.0,0.0,0.05019892379641533,3,140.41223602294923,6874.056640625
1199.6833048497692,5,0.02172817476093769,1.0,0.0,0.11647920310497284,3,140.7800033569336,6892.61865234375
1199.7166381831025,5,0.022136317566037178,1.0,0.0,0.16842234134674072,3,141.0296127319336,6900.25244140625
1199.7666381831025,5,0.0227498896420002,1.0,0.0,0.24313466250896454,3,141.39869842529296,6909.4541015625
1199.8166381831024,5,0.023365020751953125,1.0,0.0,0.2814851999282837,3,141.7493682861328,6928.8359375
1199.8666381831024,5,0.02398158796131611,1.0,0.0,0.2775256037712097,3,142.08255615234376,6946.57666015625
1199.9166381831024,5,0.024599431082606316,1.0,0.0,0.22457875311374664,3,142.3988800048828,6957.66796875
1199.9666381831023,5,0.025218423455953598,1.0,0.0,0.1152423620223999,3,142.7085708618164,6983.724609375
1200.0166381831023,5,0.025838585570454597,1.0,0.0,-0.072689950466156,3,143.03741912841798,7008.67138671875
1200.0666381831022,5,0.02646004408597946,1.0,0.0,-0.2420017421245575,3,143.37938232421877,7010.66943359375
1200.0999715164355,5,0.026875140145421028,1.0,0.0,-0.3114372491836548,3,143.60178680419924,7019.79150390625
